item_number,description,category,item_link,parts_link,release_year
cty0714,"Angler Male, Dark Tan Legs, Dark Red Cap, Silver Sunglasses, Life Jacket Center Buckle",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0714,https://www.bricklink.com/catalogItemInv.asp?M=cty0714,2017
arc002,"Arctic - Black, Black Hood, Backpack",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc002,https://www.bricklink.com/catalogItemInv.asp?M=arc002,2000
arc003,"Arctic - Black, Blue Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc003,https://www.bricklink.com/catalogItemInv.asp?M=arc003,2000
arc004,"Arctic - Black, White Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc004,https://www.bricklink.com/catalogItemInv.asp?M=arc004,2000
arc005,"Arctic - Blue, Blue Hood, Black Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc005,https://www.bricklink.com/catalogItemInv.asp?M=arc005,2000
arc006,"Arctic - Blue, Blue Hood, Black Legs, Snowshoes",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc006,https://www.bricklink.com/catalogItemInv.asp?M=arc006,2000
arc013,"Arctic - Blue, Blue Hood, White Legs",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc013,https://www.bricklink.com/catalogItemInv.asp?M=arc013,2001
arc007,"Arctic - Green, Green Cap",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc007,https://www.bricklink.com/catalogItemInv.asp?M=arc007,2000
arc008,"Arctic - Green, Green Hood",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc008,https://www.bricklink.com/catalogItemInv.asp?M=arc008,2000
arc009,"Arctic - Red, Medic",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc009,https://www.bricklink.com/catalogItemInv.asp?M=arc009,2000
arc001,"Arctic - Red, White Helmet",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=arc001,https://www.bricklink.com/catalogItemInv.asp?M=arc001,2000
cty0551,Arctic Captain,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0551,https://www.bricklink.com/catalogItemInv.asp?M=cty0551,2014
cty0923,Arctic Climber,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0923,https://www.bricklink.com/catalogItemInv.asp?M=cty0923,2018
cty0929,Arctic Expedition Leader,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0929,https://www.bricklink.com/catalogItemInv.asp?M=cty0929,2018
cty0903,"Arctic Explorer - Ski Beanie Hat, Light Blue Ski Goggles",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0903,https://www.bricklink.com/catalogItemInv.asp?M=cty0903,2018
cty0928,"Arctic Explorer - Ushanka Hat, Orange Sunglasses",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0928,https://www.bricklink.com/catalogItemInv.asp?M=cty0928,2018
cty0927,"Arctic Explorer Female - Dirt Bike Helmet, Goggles",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0927,https://www.bricklink.com/catalogItemInv.asp?M=cty0927,2018
cty0926,"Arctic Explorer Female - Fur-Lined Hood, Light Blue Ski Goggles",Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0926,https://www.bricklink.com/catalogItemInv.asp?M=cty0926,2018
cty0931,Arctic Explorer Female - Ski Beanie Hat,Town,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0931,https://www.bricklink.com/catalogItemInv.asp?M=cty0931,2018
