"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","age","expression","gender","expressionOne","expressionTwo","otherAttr","expressionDivOne","expressionDivTwo"
"518",526,"3626pb0682","Minifigure, Head Male Black Thick Eyebrows, Brown Cheek Lines, Determined Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0682","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0682&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0682#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0682&ColorID=3","#f3d000","no tag"," Determined Pattern","male-coded","Determined","none","none","Angry","NA"
"519",527,"3626pb0683","Minifigure, Head Male Brown Bushy Sideburns, Thin Eyebrows, White Pupils and Open Mouth Smile Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0683","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0683&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0683#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0683&ColorID=3","#f3d000","no tag"," White Pupils and Open Mouth Smile Pattern","male-coded","Smile","none","none","Happy","NA"
"520",528,"3626pb0687","Minifigure, Head Male Brown Eyebrows, Open Mouth Smile, Chin Dimple, White Pupils Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0687","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0687&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0687#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0687&ColorID=3","#f3d000","no tag"," White Pupils Pattern","male-coded","Smile","none","none","Happy","NA"
"521",529,"3626pb0685","Minifigure, Head Male Brown Eyebrows, White Pupils, Smile Wrinkles and Wide Open Smile Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0685","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0685&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0685#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0685&ColorID=3","#f3d000","old"," Smile Wrinkles and Wide Open Smile Pattern","male-coded","Smile","Smile","none","Happy","Happy"
"522",530,"3626pb0790","Minifigure, Head Male Dark Brown Eyebrows and Moustache, Left Raised Eyebrow, Black Glasses, Neutral Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0790","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0790&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0790#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0790&ColorID=3","#f3d000","no tag"," Neutral Pattern","male-coded","Neutral","none","Glasses","Neutral","NA"
"523",531,"3626pb0695","Minifigure, Head Male Headband White, Brown Eyebrows, Teeth Clenched Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0695","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0695&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0695#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0695&ColorID=3","#f3d000","no tag"," Teeth Clenched Pattern","male-coded","none","none","none","NA","NA"
"524",532,"3626pb0769","Minifigure, Head Male Large Scar and Stubble Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0769","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0769&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0769#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0769&ColorID=90","#faccae","no tag"," Head Male Large Scar and Stubble Pattern","male-coded","none","none","none","NA","NA"
"525",533,"3626pb0756","Minifigure, Head Male Sideburns, Moustache, Wrinkles and Smirk Pattern (Rodney Rathbone)",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0756","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0756&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0756#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0756&ColorID=3","#f3d000","old"," Wrinkles and Smirk Pattern (Rodney Rathbone)","male-coded","Smirk","none","none","Evil","NA"
"526",534,"3626pb0791","Minifigure, Head Male Tan Thin Eyebrows and Moustache, Grin with Teeth Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0791","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0791&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0791#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0791&ColorID=3","#f3d000","no tag"," Grin with Teeth Pattern","male-coded","Grin","none","none","Happy","NA"
"527",535,"3626pb0712","Minifigure, Head Male Thick Black Eyebrows, Repaired Glasses, Nervous Smile Pattern",2012,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0712","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0712&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0712#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0712&ColorID=3","#f3d000","no tag"," Nervous Smile Pattern","male-coded","Smile","none","Glasses","Happy","NA"
