"","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode","gender","age","expression"
"345","3626pb0593","Minifigure, Head Dual Sided Black Eyebrows, Dark Bluish Gray Beard Stubble, Open Mouth Smile with Full Teeth / Top Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0593","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0593&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0593#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0593&ColorID=3","#f3d000","male","no tag"," Open Mouth Smile with Full Teeth / Top Teeth Pattern"
"346","3626pb0584","Minifigure, Head Dual Sided Black Eyebrows, Medium Nougat Chin Dimple, Lower Eyelids and Lopsided Open Mouth Scowl with Teeth / Surprised Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0584","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0584&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0584#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0584&ColorID=3","#f3d000","no tag","no tag"," Lower Eyelids and Lopsided Open Mouth Scowl with Teeth / Surprised Pattern"
"347","3626pb0555","Minifigure, Head Dual Sided Black Eyebrows, Moustache, Soul Patch and Goatee, Upper Eyelids, Dark Bluish Gray Eye Shadow, Cheek Lines, Lopsided Open Mouth Scowl / White Face and Smile with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0555","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0555&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0555#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0555&ColorID=90","#faccae","male","no tag"," Lopsided Open Mouth Scowl / White Face and Smile with Teeth Pattern"
"348","3626pb0583","Minifigure, Head Dual Sided Black Eyebrows, Sunglasses with Single Orange Lens and Nose Piece, Medium Nougat Chin Dimple, Open Mouth Smile with Teeth / Angry Yell with Top Teeth and Red Tongue Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0583","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0583&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0583#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0583&ColorID=3","#f3d000","no tag","no tag"," Open Mouth Smile with Teeth / Angry Yell with Top Teeth and Red Tongue Pattern"
"349","3626pb0602","Minifigure, Head Dual Sided Black Eyebrows, White Pupils, Open Smile with Gold Mouth Guard / Black Eye, Crooked Lips Sad Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0602","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0602&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0602#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0602&ColorID=3","#f3d000","no tag","no tag"," Crooked Lips Sad Pattern"
"350","3626pb0586","Minifigure, Head Dual Sided Black Thick Eyebrows, Medium Nougat Chin Dimple, Open Mouth Smile with Top Teeth and Red Tongue / Worried Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0586","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0586&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0586#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0586&ColorID=3","#f3d000","no tag","no tag"," Open Mouth Smile with Top Teeth and Red Tongue / Worried Pattern"
"351","3626pb0595","Minifigure, Head Dual Sided Child Black Eyebrows, Reddish Brown Freckles, Grin / Sad Frown Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0595","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0595&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0595#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0595&ColorID=90","#faccae","no tag","child"," Grin / Sad Frown Pattern"
"352","3626pb0624","Minifigure, Head Dual Sided Child Dark Tan Small Eyebrows, Reddish Brown Freckles, and Neutral / Silver Mechanical Goggles, Medium Nougat Dimple, and Lopsided Open Mouth Scowl with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0624","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0624&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0624#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0624&ColorID=90","#faccae","no tag","child"," and Lopsided Open Mouth Scowl with Teeth Pattern"
"353","3626pb0575","Minifigure, Head Dual Sided Dark Brown Bushy Eyebrows, Moustache and Full Beard, Lopsided Open Mouth Smile with Teeth / Upper Eyelids and Angry Frown Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0575","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0575&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0575#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0575&ColorID=3","#f3d000","male","no tag"," Lopsided Open Mouth Smile with Teeth / Upper Eyelids and Angry Frown Pattern"
"354","3626pb0576","Minifigure, Head Dual Sided Dark Brown Eyebrows, Moustache and Shaggy Beard, Upper Eyelids, Medium Nougat Cheek Lines, Chin Dimple and Wrinkles, Frown / Lopsided Open Mouth Smile with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0576","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0576&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0576#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0576&ColorID=90","#faccae","male","old"," Frown / Lopsided Open Mouth Smile with Teeth Pattern"
"355","3626pb0589","Minifigure, Head Dual Sided Dark Orange Eyebrows, Lower Eyelid, Medium Nougat Chin Dimple, Lopsided Grin / Open Mouth Smile with Teeth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0589","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0589&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0589#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0589&ColorID=90","#faccae","no tag","no tag"," Lopsided Grin / Open Mouth Smile with Teeth Pattern"
"356","3626pb0634","Minifigure, Head Dual Sided Dark Orange Eyebrows, Medium Nougat Chin Dimple, Angry Frown / Smirk Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0634","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0634&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0634#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb0634&ColorID=90","#faccae","no tag","no tag"," Angry Frown / Smirk Pattern"
"357","3626pb0578","Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Beauty Mark and Glasses with White Lenses, Bright Light Blue Eye Shadow, Red Lips, Open Mouth Smile with Top Teeth and Tongue / Scared with Teeth Parted Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0578","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0578&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0578#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0578&ColorID=3","#f3d000","male","no tag"," Open Mouth Smile with Top Teeth and Tongue / Scared with Teeth Parted Pattern"
"358","3626pb0592","Minifigure, Head Dual Sided Female Black Eyebrows, Eyelashes, Red Eye Shadow and Lips, Smirk with Medium Nougat Dimple / Veil over Mouth Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0592","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0592&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0592#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0592&ColorID=3","#f3d000","male","no tag"," Smirk with Medium Nougat Dimple / Veil over Mouth Pattern"
"359","3626pb0594","Minifigure, Head Dual Sided Female Black Thin Eyebrows, Eyelashes, Red Lips, Open Mouth Smile with Teeth / Angry Frown Pattern","2011","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0594","https://www.bricklink.com/catalogItemIn.asp?P=3626pb0594&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb0594#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb0594&ColorID=3","#f3d000","male","no tag"," Open Mouth Smile with Teeth / Angry Frown Pattern"
