"","X","item_number","description","category","item_link","minifigs_link","color_link","Name","ID","PriceLink","hexCode"
"403",650,"3626pb3568","Minifigure, Head Dual Sided Dark Brown Eyebrows, Black Chin Strap, Cheek Lines, Neutral / Scared with Wrinkles Below Eyebrows Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3568","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3568&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3568#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3568&ColorID=90","#faccae"
"404",651,"3626pb3707","Minifigure, Head Dual Sided Dark Brown Eyebrows, Black Chin Strap, Medium Nougat Cheek Lines, Neutral / Scared Open Mouth with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3707","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3707&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3707#T=C","Medium Tan",241,"https://www.bricklink.com/catalogPG.asp?P=3626pb3707&ColorID=241","#d9c594"
"405",652,"3626pb3620","Minifigure, Head Dual Sided Dark Brown Eyebrows, Medium Nougat Cheek Lines and Chin Dimple, Neutral / Scowl with Bright Light Blue Water Bubble over Mouth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3620","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3620&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3620#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3620&ColorID=90","#faccae"
"406",653,"3626pb3555","Minifigure, Head Dual Sided Dark Brown Eyebrows, Medium Nougat Cheek Lines, Chin Dimple, and Freckles, Neutral / Open Mouth Smile with Top Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3555","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3555&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3555#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3555&ColorID=90","#faccae"
"407",654,"3626pb3804","Minifigure, Head Dual Sided Dark Brown Eyebrows, Moustache and Beard with Light Bluish Gray Highlights, Grin / Angry Open Mouth with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3804","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3804&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3804#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3804&ColorID=90","#faccae"
"408",655,"3626pb3550","Minifigure, Head Dual Sided Dark Brown Eyebrows, Tooth Gap Neutral / Lopsided Smile Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3550","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3550&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3550#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3550&ColorID=90","#faccae"
"409",656,"3626pb3646","Minifigure, Head Dual Sided Dark Brown Eyebrows, Upper Eyelids, Medium Nougat Stubble, Frown / Angry Open Mouth Scowl with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3646","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3646&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3646#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3646&ColorID=90","#faccae"
"410",657,"3626pb3702","Minifigure, Head Dual Sided Dark Orange Eyebrows and Beard Stubble, Nougat Dimples, Crooked Smile / Frown Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3702","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3702&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3702#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3702&ColorID=90","#faccae"
"411",658,"3626pb3670","Minifigure, Head Dual Sided Dark Orange Eyebrows and Beard with Dark Red Highlights, Frown / Open Mouth Smile with Top Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3670","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3670&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3670#T=C","Reddish Brown",88,"https://www.bricklink.com/catalogPG.asp?P=3626pb3670&ColorID=88","#843419"
"412",659,"3626pb3700","Minifigure, Head Dual Sided Dark Orange Eyebrows and Cheeklines, Lopsided Smile / Nougat Scars Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3700","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3700&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3700#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3700&ColorID=90","#faccae"
"413",660,"3626pb3701","Minifigure, Head Dual Sided Dark Orange Eyebrows and Dimples, Smile / Frown Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3701","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3701&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3701#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3701&ColorID=90","#faccae"
"414",661,"3626pb3708","Minifigure, Head Dual Sided Dark Orange Eyebrows, Medium Nougat Cheek Lines, Chin Dimple, Scars, Grin / Scared Open Mouth with Teeth Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3708","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3708&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3708#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3708&ColorID=90","#faccae"
"415",662,"3626pb3703","Minifigure, Head Dual Sided Dark Orange Eyebrows, Medium Nougat Wrinkles, Smile / Frown Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3703","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3703&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3703#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3703&ColorID=90","#faccae"
"416",663,"3626pb3716","Minifigure, Head Dual Sided Dark Orange Eyebrows, Moustache and Soul Patch, Scuff Mark, Open Mouth Smile with Teeth / Angry Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3716","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3716&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3716#T=C","Yellow",3,"https://www.bricklink.com/catalogPG.asp?P=3626pb3716&ColorID=3","#f3d000"
"417",665,"3626pb3666","Minifigure, Head Dual Sided Dark Tan Eyebrows, Beard, Medium Nougat Forehead Lines, Open Mouth, Gritted Teeth / Grin with Sunglasses Pattern",2024,"https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3666","https://www.bricklink.com/catalogItemIn.asp?P=3626pb3666&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3626pb3666#T=C","Light Nougat",90,"https://www.bricklink.com/catalogPG.asp?P=3626pb3666&ColorID=90","#faccae"
