"","item_number","description","category"
"164","3626pb3114","Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Black Double Eyelashes, Medium Nougat Dimples, Chin Dimple, Forehead Creases and Wrinkles, Dark Pink Lips, Grin / Surprised Open Mouth and Left Eyebrow Raised Pattern","2022"
"165","3626pb3148","Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Medium Nougat Lips and Cheek Lines, and Neutral / Oxygen Mask Pattern","2022"
"166","3626pb3022","Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Nougat Lips, Freckles, Silver Triangle (Focus), Lopsided Closed Mouth / Surprised Open Mouth Pattern","2022"
"167","3626pb3036","Minifigure, Head Dual Sided Female Reddish Brown Eyebrows, Nougat Lips, Open Mouth Smile with Teeth, Black Mask / No Mask Pattern","2022"
"168","3626pb3105","Minifigure, Head Dual Sided Female, Black Eyebrows and Glasses, Light Bluish Gray Lips, Lopsided Grin / Sad with Tear Pattern","2022"
"169","3626pb3129","Minifigure, Head Dual Sided Female, Black Eyebrows and Glasses, Peach Lips, Grin with Teeth / Open Mouth Smile Pattern","2022"
"170","3626pb2985","Minifigure, Head Dual Sided Female, Black Eyebrows, Bright Pink Lips, Smirk / Open Smile with Teeth and Red Tongue Pattern","2022"
"171","3626pb3162","Minifigure, Head Dual Sided Female, Black Eyebrows, Dark Brown Chin Dimple, Open Mouth, Lopsided Smile / Scared Pattern","2022"
"172","3626pb3141","Minifigure, Head Dual Sided Female, Black Eyebrows, Dark Brown Lips, Grin / Open Mouth Smile Pattern","2022"
"173","3626pb3125","Minifigure, Head Dual Sided Female, Black Eyebrows, Dark Red Lips, Lopsided Grin with Raised Eyebrow Right / Open Mouth Smile Pattern","2022"
"174","3626pb3094","Minifigure, Head Dual Sided Female, Black Eyebrows, Gap in Teeth, Smile with Tongue / Wide Grin with Teeth and Closed Eyes Pattern","2022"
"175","3626pb3106","Minifigure, Head Dual Sided Female, Black Eyebrows, Lopsided Grin with Dark Red Lips / Bright Light Orange Goose Duck Bill Pattern","2022"
"176","3626pb3057","Minifigure, Head Dual Sided Female, Black Eyebrows, Lopsided Grin with Dark Red Lips / Pig Snout Pattern","2022"
"177","3626pb3001","Minifigure, Head Dual Sided Female, Black Eyebrows, Medium Nougat Lips Open Mouth Smile / Raised Eyebrow Pattern","2022"
