"","Description","ItemNo","Link","Quantity","NumberSets","ColorID","PriceLink","current_new_avg","current_new_min","current_new_max","past_new_avg","past_new_min","past_new_max"
"11","Light Nougat Minifigure, Head Dual Sided Female Black Eyebrows, Bright Pink Birthmark, Open Mouth Smile / Laughing with Teeth and Red Tongue Pattern ","3626pb3732","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3732&idColor=90",1,"1","90","https://www.bricklink.com/catalogPG.asp?P=3626pb3732&ColorID=90","US $2.45","US $1.33","US $4.58","US $2.19","US $1.30","US $2.99"
"12","Light Nougat Minifigure, Head Dual Sided Female Dark Brown Eyebrows, Eyelashes, Dark Pink Lips, Grin / Open Mouth Smile with Teeth Pattern ","3626pb3418","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3418&idColor=90",1,"5","90","https://www.bricklink.com/catalogPG.asp?P=3626pb3418&ColorID=90","US $5.21","US $2.47","US $9.66","US $4.46","US $2.00","US $8.27"
"13","Light Nougat Minifigure, Head Dual Sided Female, Black Eyebrows and Glasses, Peach Lips, Grin with Teeth / Open Mouth Smile Pattern ","3626pb3129","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3129&idColor=90",1,"4","90","https://www.bricklink.com/catalogPG.asp?P=3626pb3129&ColorID=90","US $0.98","US $0.28","US $4.26","US $0.80","US $0.26","US $2.15"
"14","Light Nougat Minifigure, Head Dual Sided Medium Brown Eyebrows, Nougat Dimples, Smile / Winking with Glasses Pattern ","3626pb3287","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3287&idColor=90",1,"2","90","https://www.bricklink.com/catalogPG.asp?P=3626pb3287&ColorID=90","US $3.03","US $0.89","US $19.98","US $2.61","US $0.50","US $5.57"
"15","Medium Brown Minifigure, Head Dual Sided Black Eyebrows and Lower Eyelids, Reddish Brown Cheek Lines and Chin Dimple, Gap in Teeth / Smirk, Raised Left Eyebrow Pattern ","3626pb3737","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3737&idColor=240",1,"1","240","https://www.bricklink.com/catalogPG.asp?P=3626pb3737&ColorID=240","US $1.76","US $1.03","US $3.50","US $1.62","US $0.80","US $2.67"
"16","Medium Brown Minifigure, Head Dual Sided Black Eyebrows and Stubble, Scar on Right Eyebrow, Closed Mouth Smile / Open Mouth Grin with Teeth Pattern ","3626pb3729","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3729&idColor=240",1,"1","240","https://www.bricklink.com/catalogPG.asp?P=3626pb3729&ColorID=240","US $1.83","US $1.07","US $3.56","US $1.61","US $0.81","US $2.12"
"17","Medium Brown Minifigure, Head Dual Sided Black Eyebrows, Beard and Moustache, Open Mouth Smile with Teeth Pattern / Raised Left Eyebrow Pattern ","3626pb3724","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3724&idColor=240",1,"1","240","https://www.bricklink.com/catalogPG.asp?P=3626pb3724&ColorID=240","US $1.89","US $1.08","US $3.50","US $1.66","US $0.81","US $2.75"
"18","Medium Brown Minifigure, Head Dual Sided Black Eyebrows, Glasses, Stubble, Lopsided Grin / Smile with Teeth Pattern ","3626pb3154","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3154&idColor=240",1,"3","240","https://www.bricklink.com/catalogPG.asp?P=3626pb3154&ColorID=240","US $1.26","US $0.35","US $5.18","US $0.86","US $0.25","US $2.76"
"19","Medium Brown Minifigure, Head Dual Sided Female Black Eyebrows, Dark Brown Eyes and Eyelashes, Nougat Glasses, Dark Orange Lips, Lopsided Grin / Black Eyelashes, Open Mouth Smile with Teeth, No Glasses Pattern ","3626pb3734","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3734&idColor=240",1,"1","240","https://www.bricklink.com/catalogPG.asp?P=3626pb3734&ColorID=240","US $1.84","US $0.87","US $3.54","US $1.69","US $0.86","US $2.38"
"20","Medium Brown Minifigure, Head Dual Sided Female Black Eyebrows, Reddish Brown Eye Shadow, Dark Red Lips, Open Mouth Smile / Closed Mouth Smile Pattern ","3626pb3298","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3298&idColor=240",1,"3","240","https://www.bricklink.com/catalogPG.asp?P=3626pb3298&ColorID=240","US $1.49","US $0.45","US $9.42","US $1.27","US $0.60","US $1.95"
"21","Medium Brown Minifigure, Head Female Black Thin Eyebrows, Single Eyelashes, Dark Orange Lips, Dark Turquoise Hearing Aid on Right, Open Mouth Smile with Teeth Pattern ","3626pb3166","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3166&idColor=240",1,"3","240","https://www.bricklink.com/catalogPG.asp?P=3626pb3166&ColorID=240","US $1.46","US $0.30","US $6.47","US $0.85","US $0.34","US $2.32"
"22","Medium Nougat Minifigure, Head Dual Sided Black Eyebrows, Light Nougat Vitiligo, No Glasses, Grin / Black Glasses, Open Mouth Grin with Teeth Pattern ","3626pb3743","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3743&idColor=150",1,"1","150","https://www.bricklink.com/catalogPG.asp?P=3626pb3743&ColorID=150","US $4.34","US $1.94","US $7.92","US $3.59","US $2.23","US $4.95"
"23","Medium Nougat Minifigure, Head Dual Sided Black Eyebrows, Reddish Brown Dimples, Lopsided Open Mouth Smile with Teeth / Laughing with Dark Red Tongue Pattern ","3626pb3420","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3420&idColor=150",1,"4","150","https://www.bricklink.com/catalogPG.asp?P=3626pb3420&ColorID=150","US $3.19","US $1.20","US $9.20","US $2.41","US $0.81","US $7.83"
"24","Medium Nougat Minifigure, Head Dual Sided Female Black Eyebrows and Beauty Mark, Medium Brown Lips and Wrinkles, Grin / Wink and Lopsided Open Mouth Smile with Teeth Pattern ","3626pb3596","https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626pb3596&idColor=150",1,"2","150","https://www.bricklink.com/catalogPG.asp?P=3626pb3596&ColorID=150","US $4.05","US $1.91","US $7.52","US $3.51","US $1.86","US $7.91"
