item_number,description,color,gender,age,emotion
3626cpb1651,"Minifigure, Head Dual Sided Black Glasses, Reddish Brown Eyebrows, Sheepish Happy / Dark Pink Eyes Pattern",Light Nougat,neutral,young adult,neutral
3626cpb1865,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Neutral / Happy Pattern",Light Nougat,neutral,young adult,smile
3626cpb1865,"Minifigure, Head Dual Sided Black Headband with Squinted Batman Eyes, Neutral / Happy Pattern",Light Nougat,neutral,young adult,neutral
3626cpb2477,"Minifigure, Head Dual Sided Dark Brown Bushy Eyebrows, Moustache, Silver Round Glasses, Open Mouth / Shocked Pattern",Light Nougat,male,young adult,smile
3626cpb2477,"Minifigure, Head Dual Sided Dark Brown Bushy Eyebrows, Moustache, Silver Round Glasses, Open Mouth / Shocked Pattern",Light Nougat,male,young adult,neutral
3626cpb2698,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Med. Nougat Age Lines, Wide Happy / Frown Pattern",Light Nougat,neutral,older adult,smile
3626cpb2698,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Med. Nougat Age Lines, Wide Happy / Frown Pattern",Light Nougat,neutral,older adult,neutral
3626cpb1375,"Minifigure, Head Dual Sided Black Eyebrows, Chin Stubble, Open Mouth Happy / Sad Face Pattern (Shaggy)",Light Nougat,male,young adult,smile
3626cpb1375,"Minifigure, Head Dual Sided Black Eyebrows, Chin Stubble, Open Mouth Happy / Sad Face Pattern (Shaggy)",Light Nougat,male,young adult,sad
3626cpb2246,"Minifigure, Head Dual Sided Black Eyebrows and Moustache, Med. Nougat Cheek Lines, Smile / Nervous Smile Pattern",Light Nougat,male,young adult,smile
3626cpb2246,"Minifigure, Head Dual Sided Black Eyebrows and Moustache, Med. Nougat Cheek Lines, Smile / Nervous Smile Pattern",Light Nougat,male,young adult,scared
3626cpb2013,"Minifigure, Head Dual Sided Black Eyebrows and Pencil Moustache, Dark Orange Cheek Lines, Smile / Scared Pattern",Light Nougat,male,young adult,smile
3626cpb2013,"Minifigure, Head Dual Sided Black Eyebrows and Pencil Moustache, Dark Orange Cheek Lines, Smile / Scared Pattern",Light Nougat,male,young adult,scared
3626cpb1379,"Minifigure, Head Dual Sided Black Eyebrows, Chin Stubble, Goofy Smile / Scared Clenched Teeth Pattern (Shaggy)",Light Nougat,male,young adult,smile
3626cpb1379,"Minifigure, Head Dual Sided Black Eyebrows, Chin Stubble, Goofy Smile / Scared Clenched Teeth Pattern (Shaggy)",Light Nougat,male,young adult,scared
3626cpb2691,"Minifigure, Head Dual Sided Gray Eyebrows and Sideburns, Lined Face, Happy / Scared Face Pattern",Light Nougat,male,young adult,smile
3626cpb2691,"Minifigure, Head Dual Sided Gray Eyebrows and Sideburns, Lined Face, Happy / Scared Face Pattern",Light Nougat,male,young adult,scared
3626cpb0588,"Minifigure, Head Dual Sided HP Ollivander Smile / Scared Pattern",Light Nougat,neutral,young adult,smile
3626cpb0588,"Minifigure, Head Dual Sided HP Ollivander Smile / Scared Pattern",Light Nougat,neutral,young adult,scared
3626cpb0836,"Minifigure, Head Dual Sided LotR Brown Beard and Freckles, Smile / Scared Pattern (Ori)",Light Nougat,male,young adult,smile
3626cpb0836,"Minifigure, Head Dual Sided LotR Brown Beard and Freckles, Smile / Scared Pattern (Ori)",Light Nougat,male,young adult,scared
3626cpb0732,"Minifigure, Head Dual Sided LotR Pippin Brown Eyebrows, Anxious / Scared Pattern",Light Nougat,neutral,young adult,smile
3626cpb0732,"Minifigure, Head Dual Sided LotR Pippin Brown Eyebrows, Anxious / Scared Pattern",Light Nougat,neutral,young adult,scared
3626cpb2211,"Minifigure, Head Dual Sided Med. Nougat Eyebrows and Contour Lines, Smile / Scared Pattern",Light Nougat,neutral,young adult,smile
3626cpb2211,"Minifigure, Head Dual Sided Med. Nougat Eyebrows and Contour Lines, Smile / Scared Pattern",Light Nougat,neutral,young adult,scared
3626cpb0905,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Sneer / Scared Pattern",Light Nougat,male,young adult,smile
3626cpb0905,"Minifigure, Head Dual Sided Moustache, Goatee and Cheek Lines, Sneer / Scared Pattern",Light Nougat,male,young adult,scared
3626cpb0475,"Minifigure, Head Dual Sided HP Harry with Glasses and Lightning Bolt, Frown / Smile Pattern",Light Nougat,neutral,young adult,smile
3626cpb0475,"Minifigure, Head Dual Sided HP Harry with Glasses and Lightning Bolt, Frown / Smile Pattern",Light Nougat,neutral,young adult,smirk
3626cpb0598,"Minifigure, Head Dual Sided HP Neville Closed Mouth / Crooked Smile with Teeth Pattern",Light Nougat,neutral,young adult,smile
3626cpb0598,"Minifigure, Head Dual Sided HP Neville Closed Mouth / Crooked Smile with Teeth Pattern",Light Nougat,neutral,young adult,smirk
3626cpb0574b,"Minifigure, Head Dual Sided PotC Will Moustache, Goatee, Sneer with Sideburns / Smile without Sideburns Pattern",Light Nougat,male,young adult,smile
3626cpb0574b,"Minifigure, Head Dual Sided PotC Will Moustache, Goatee, Sneer with Sideburns / Smile without Sideburns Pattern",Light Nougat,male,young adult,smirk
3626cpb2799,"Minifigure, Head Dual Sided, Black Eyebrows, Dark Orange Cheek Lines, Smirk / Happy with Raised Eyebrow Pattern",Light Nougat,neutral,young adult,smile
3626cpb2799,"Minifigure, Head Dual Sided, Black Eyebrows, Dark Orange Cheek Lines, Smirk / Happy with Raised Eyebrow Pattern",Light Nougat,neutral,young adult,smirk
3626bpb0588,"Minifigure, Head Dual Sided HP Ollivander Smile / Scared Pattern",Light Nougat,neutral,young adult,smile
3626bpb0588,"Minifigure, Head Dual Sided HP Ollivander Smile / Scared Pattern",Light Nougat,neutral,young adult,smirk
