item_number,description,category,gender,item_link,parts_link,temp,gender2,release_year
cty1363,"Police - City Motorcyclist Female, Leather Jacket with Gold Badge and Utility Belt, White Helmet, Trans-Black Visor, Glasses, and Open Mouth Smile",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1363,https://www.bricklink.com/catalogItemInv.asp?M=cty1363,"NA",female,2022
cty1134,"Police - City Motorcyclist Female, Leather Jacket with Gold Badge and Utility Belt, White Helmet, Trans-Clear Visor, Peach Lips",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1134,https://www.bricklink.com/catalogItemInv.asp?M=cty1134,"NA",female,2020
cty1121,"Police - City Motorcyclist Female, Silver Sunglasses, Trans-Clear Visor",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1121,https://www.bricklink.com/catalogItemInv.asp?M=cty1121,"NA",female,2020
cty0992,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Dark Blue Cap with Dark Orange Ponytail",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0992,https://www.bricklink.com/catalogItemInv.asp?M=cty0992,"NA",female,2019
cty1125,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Dark Blue Cap with Dark Orange Ponytail, Freckles",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1125,https://www.bricklink.com/catalogItemInv.asp?M=cty1125,"NA",female,2020
cty1263,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Dark Blue Cap with Dark Orange Ponytail, Life Jacket",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1263,https://www.bricklink.com/catalogItemInv.asp?M=cty1263,"NA",female,2021
cty1258,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Dark Blue Cap with Dark Orange Ponytail, Pensive Smile",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1258,https://www.bricklink.com/catalogItemInv.asp?M=cty1258,"NA",female,2021
cty1090,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Dark Blue Cap with Dark Orange Ponytail, Sunglasses",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1090,https://www.bricklink.com/catalogItemInv.asp?M=cty1090,"NA",female,2019
cty1146,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Dark Blue Police Hat",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1146,https://www.bricklink.com/catalogItemInv.asp?M=cty1146,"NA",female,2020
cty0732,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Dark Blue Police Hat, Sunglasses",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0732,https://www.bricklink.com/catalogItemInv.asp?M=cty0732,"NA",female,2017
cty1384,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Medium Nougat Hair",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1384,https://www.bricklink.com/catalogItemInv.asp?M=cty1384,"NA",female,2022
cty0744,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Reddish Brown Ponytail and Swept Sideways Fringe",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0744,https://www.bricklink.com/catalogItemInv.asp?M=cty0744,"NA",female,2017
cty1381,"Police - City Officer Female, Bright Light Blue Shirt with Badge and Radio, Dark Blue Legs, Short Black Curly Hair",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1381,https://www.bricklink.com/catalogItemInv.asp?M=cty1381,"NA",female,2022
cty0620,"Police - City Officer Female, Jacket with Dark Blue Tie, Radio and Gold Badge, Dark Blue Legs, Medium Nougat Ponytail and Swept Sideways Fringe",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0620,https://www.bricklink.com/catalogItemInv.asp?M=cty0620,"NA",female,2016
cty1120,"Police - City Officer Shirt with Dark Blue Tie and Gold Badge, Dark Tan Belt with Radio, Dark Blue Legs, Dark Blue Cap, Full Beard",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1120,https://www.bricklink.com/catalogItemInv.asp?M=cty1120,"NA",male,2020
cty0776,"Police - City Officer Shirt with Dark Blue Tie and Gold Badge, Dark Tan Belt with Radio, Dark Blue Legs, White Helmet, Black Beard",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0776,https://www.bricklink.com/catalogItemInv.asp?M=cty0776,"NA",male,2017
cty0485,"Police - City Officer, Gold Badge, Dark Orange Female Hair over Shoulder",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0485,https://www.bricklink.com/catalogItemInv.asp?M=cty0485,"NA",female,2014
cty0477,"Police - City Officer, Gold Badge, Police Hat, Beard",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0477,https://www.bricklink.com/catalogItemInv.asp?M=cty0477,"NA",male,2014
cty0316,"Police - City Shirt with Dark Blue Tie and Gold Badge, Black Legs, Black Short Bill Cap, Brown Beard Rounded",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0316,https://www.bricklink.com/catalogItemInv.asp?M=cty0316,"NA",male,2012
cty0752,"Police - City Shirt with Dark Blue Tie and Gold Badge, Dark Tan Belt with Radio, Blue Legs, Blue Police Hat, Black Stubble and Raised Right Eyebrow",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0752,https://www.bricklink.com/catalogItemInv.asp?M=cty0752,"NA",male,2017
cty0756,"Police - City Shirt with Dark Blue Tie and Gold Badge, Dark Tan Belt with Radio, Dark Blue Legs, Dark Blue Cap with Hole, Brown Bushy Moustache",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0756,https://www.bricklink.com/catalogItemInv.asp?M=cty0756,"NA",male,2017
cty1334,"Police - City Shirt with Dark Blue Tie and Gold Badge, Dark Tan Belt with Radio, Dark Blue Legs, Dark Blue Cap with Hole, Stubble Beard",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty1334,https://www.bricklink.com/catalogItemInv.asp?M=cty1334,"NA",male,2022
cty0708,"Police - City Shirt with Dark Blue Tie and Gold Badge, Dark Tan Belt with Radio, Dark Blue Legs, Police Hat with Gold Badge, Head Beard Black Angular",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0708,https://www.bricklink.com/catalogItemInv.asp?M=cty0708,"NA",male,2017
cop053,"Police - City Suit with Blue Tie and Badge, Black Legs, Black Female Hair",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cop053,https://www.bricklink.com/catalogItemInv.asp?M=cop053,"NA",female,2011
cty0153,"Police - City Suit with Blue Tie and Badge, Black Legs, Brown Moustache, Black Hat",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0153,https://www.bricklink.com/catalogItemInv.asp?M=cty0153,"NA",male,2009
cty0128,"Police - City Suit with Blue Tie and Badge, Black Legs, Brown Moustache, White Hat",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0128,https://www.bricklink.com/catalogItemInv.asp?M=cty0128,"NA",male,2009
cty0241,"Police - City Suit with Blue Tie and Badge, Black Legs, Reddish Brown Female Hair over Shoulder",Town,female,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0241,https://www.bricklink.com/catalogItemInv.asp?M=cty0241,"NA",female,2011
cty0097,"Police - City Suit with Blue Tie and Badge, Black Legs, White Hat, Beard and Glasses",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0097,https://www.bricklink.com/catalogItemInv.asp?M=cty0097,"NA",male,2008
cty0209,"Police - City Suit with Blue Tie and Badge, Black Legs, White Hat, Brown Beard Rounded",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0209,https://www.bricklink.com/catalogItemInv.asp?M=cty0209,"NA",male,2011
cty0099,"Police - City Suit with Blue Tie and Badge, Black Legs, White Hat, Smirk and Stubble Beard",Town,male,https://bricklink.com/v2/catalog/catalogitem.page?M=cty0099,https://www.bricklink.com/catalogItemInv.asp?M=cty0099,"NA",male,2008
