Image,Item ID,Description,Color code,Colour ID,BL color,BL Part #,Main Group Top,Main Group,Price per unit EURO,USD,BL cost for 100+,BL savings %,BL URL,comments,total qty,,Alice,,WBI,,Bob x2,,Dave,,Jordan x2,,Dave Smith,,Kelli Smith,,Nicole/Shawn x2,,Cass,,Brad,,Koen,,Tom
,6040362,AEROPLANEWING 4X9,1,WHITE,,,LEGO,"PLATES, SPECIAL CIRC",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6048848,AEROPLANEWING 4X9,194,MED. ST-GREY,,,LEGO,"PLATES, SPECIAL CIRC",0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6246893,ALL ELEMENT 1X2X1,111,TR.BROWN,,,LEGO,"FRAMES, WINDOWS, WAL",0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170707,ANCHOR WITH KNOB,26,BLACK,,,LEGO,TRANSPORTATION MEANS,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6170702,"ANG.BRICK 5X5, Ø4,85",26,BLACK,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6222428,"ANG.BRICK 5X5, Ø4,85",24,BR.YEL,,,LEGO,"BRICKS, SPECIAL Ø4.8",0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117938,ANGLE PLATE 1X2 / 2X2,24,BR.YEL,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117940,ANGLE PLATE 1X2 / 2X2,1,WHITE,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117967,ANGLE PLATE 1X2 / 2X2,194,MED. ST-GREY,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117968,ANGLE PLATE 1X2 / 2X2,23,BR.BLUE,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117969,ANGLE PLATE 1X2 / 2X2,106,BR.ORANGE,,,LEGO,"PLATES, SPECIAL",0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117971,ANGLE PLATE 1X2 / 2X2,28,DK.GREEN,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117972,ANGLE PLATE 1X2 / 2X2,199,DK. ST. GREY,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117973,ANGLE PLATE 1X2 / 2X2,26,BLACK,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6117974,ANGLE PLATE 1X2 / 2X2,21,BR.RED,,,LEGO,"PLATES, SPECIAL",0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
