rb,Picture,Element Id,Element Name,Color (common),Color TLG,Price DKK,Price EUR
2953,,4657998,SEAT 2X3X2,blue,bright blue,"1,03","0,14"
3250,,6021678,SEAT 2X3X2,black,black,"1,12","0,15"
9562,,6269984,SEE GRASS,dark green,earth green,"0,54","0,07"
9563,,6269992,SEE GRASS,green,bright green,"0,55","0,07"
1295,,4217675,SEXTANT,DBG (dark bluish gray),dark stone grey,"0,51","0,07"
9565,,6269999,SEXTANT,DBG (dark bluish gray),dark stone grey,"0,65","0,09"
4126,,6075208,SHAFT 3M ÃƒÂ˜3.2,reddish brown,reddish brown,"0,07","0,01"
4314,,6093525,SHAFT 3M ÃƒÂ˜3.2,black,black,"0,07","0,01"
4315,,6093526,SHAFT 3M ÃƒÂ˜3.2,white,white,"0,07","0,01"
4316,,6093527,SHAFT 3M ÃƒÂ˜3.2,LBG (light bluish gray),medium stone grey,"0,07","0,01"
4317,,6093529,SHAFT 3M ÃƒÂ˜3.2,pearl gold,warm gold,"0,09","0,01"
5674,,6161772,SHAFT 3M ÃƒÂ˜3.2,green,bright green,"0,09","0,01"
6847,,6199910,SHAFT 3M ÃƒÂ˜3.2,dark brown,dark brown,"0,09","0,01"
3600,,6044722,SHARK BODY 6X9,DBG (dark bluish gray),dark stone grey,"2,94","0,39"
4678,,6107827,"SHARK, JAW ""NO. 1""",DBG (dark bluish gray),dark stone grey,"1,74","0,23"
3196,,6018945,"SHEEP, FRONT DECORATED",dark brown,dark brown,"17,90","2,40"
4251,,6092203,SHELL,white,white,"1,75","0,23"
4392,,6097097,SHELL,white,white,"0,60","0,08"
4399,,6097228,SHELL,purple,bright purple,"0,68","0,09"
9149,,6253665,SHELL 16X8X5 W. BOW/CIRCLE,trans bluish violet,transparent bright bluish violet,"17,61","2,36"
2367,,4580022,Shell 3x11x2 ÃƒÂ˜ 4.85 08,orange,bright orange,"2,12","0,28"
3039,,6004137,Shell 3x11x2 ÃƒÂ˜ 4.85 08,white,white,"2,05","0,27"
7121,,6211633,Shell 3x11x2 ÃƒÂ˜ 4.85 08,DBG (dark bluish gray),dark stone grey,"1,85","0,25"
7138,,6211955,Shell 3x11x2 ÃƒÂ˜ 4.85 08,yellow,bright yellow,"1,90","0,25"
7323,,6214731,Shell 3x11x2 ÃƒÂ˜ 4.85 08,black,black,"1,82","0,24"
7325,,6214766,Shell 3x11x2 ÃƒÂ˜ 4.85 08,dark azur,dark azur,"1,94","0,26"
8624,,6249344,"SHELL 3X9X2, W/ 4.85 HOLE, NO. 1",orange,bright orange,"1,24","0,17"
6465,,6185306,SHELL 4X8X2 W/FORKS,trans light blue,transparent light blue,"2,32","0,31"
855,,4209683,SHELL 6X10X2 INV.,black,black,"2,37","0,32"
7719,,6223642,SHELL 6X10X2 INV.,purple,bright purple,"2,54","0,34"
8967,,6252256,SHELL 6X10X2 W/ BOW AND ANGLE,trans clear,transparent clear,"3,59","0,48"
9379,,6258198,SHELL 6X8X2 W/BOW/ANGLE,white,white,"3,01","0,40"
9392,,6258445,SHELL 6X8X2 W/BOW/ANGLE,medium azur,medium azur,"2,49","0,33"
3556,,6039134,SHELL A 3M BALL SNAP ÃƒÂ˜10.2,black,black,"0,56","0,08"
7628,,6221611,SHELL W. WORM 3X6X10,black,black,"3,93","0,53"
5852,,6168742,"SHELL W/ 3.2 SHAFT, NO. 11",LBG (light bluish gray),medium stone grey,"0,32","0,04"
7927,,6227169,"SHELL W/ 3.2 SHAFT, NO. 11",yellow,bright yellow,"0,33","0,04"
