item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,description,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type
6038473,"MINI HEAD ""NO. 1226""",14354,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=14354,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6057688,"MINI HEAD ""NO. 1278""",15715,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=15715,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6056368,MINI HEAD NO. 1290,15779,Light Nougat,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=15779,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6057957,"MINI HEAD ""NO. 1365""",16294,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=16294,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6057958,"MINI HEAD ""NO. 1366""",16295,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=16295,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6057982,"MINI HEAD ""NO. 1367""",16298,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=16298,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6065553,MINI HEAD NO. 1385,17052,Reddish Brown,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=17052,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6068052,"MINI HEAD ""NO.1395""",17185,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=17185,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6071631,"MINI HEAD ""NO 1410""",17465,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=17465,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
6073030,"MINI HEAD ""NO 1420""",17508,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=17508,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral
