item_id,item_description,bl_part_id,brick_link_color,usd,year,price_usd,brick_link_url,,is_female,is_male,is_child,is_dual_sided,is_plain,is_nonhuman,type,description2,na_description,description3,search_link
6107469,"MINI HEAD ""NO. 1642""",20619,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=20619,"Minifigure, Head White Moustache, Goatee and Eyebrows, Brown Forehead and Cheek Lines, Slight Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6107469#T=A
6107469,"MINI HEAD ""NO. 1642""",20619,Yellow,$0.06,2018,0.06,https://www.bricklink.com/v2/catalog/catalogitem.page?P=20619,"Minifigure, Head White Moustache, Goatee and Eyebrows, Brown Forehead and Cheek Lines, Slight Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6107469#T=A
6112623,"MINI HEAD ""NO. 1664""",21024,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21024,"Minifigure, Head Glasses with Silver Sunglasses, Black Eyebrows Wavy, Thin Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112623#T=A
6112623,"MINI HEAD ""NO. 1664""",21024,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21024,"Minifigure, Head Glasses with Silver Sunglasses, Black Eyebrows Wavy, Thin Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112623#T=A
6112623,"MINI HEAD ""NO. 1664""",21024,Yellow,$0.05,2017,0.04,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21024,"Minifigure, Head Glasses with Silver Sunglasses, Black Eyebrows Wavy, Thin Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112623#T=A
6112623,"MINI HEAD ""NO. 1664""",21024,Yellow,$0.06,2018,0.06,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21024,"Minifigure, Head Glasses with Silver Sunglasses, Black Eyebrows Wavy, Thin Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112623#T=A
6112623,"MINI HEAD ""NO. 1664""",NA,Yellow,NA,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Glasses with Silver Sunglasses, Black Eyebrows Wavy, Thin Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112623#T=A
6112623,"MINI HEAD ""NO. 1664""",NA,Yellow,NA,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=NA,"Minifigure, Head Glasses with Silver Sunglasses, Black Eyebrows Wavy, Thin Grin Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112623#T=A
6112633,"MINI HEAD ""NO. 1666""",21027,Yellow,NA,2015,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21027,"Minifigure, Head Female Glasses with Silver Frames, Brown Eyebrows, Eyelashes, Pink Lips, Open Mouth Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112633#T=A
6112633,"MINI HEAD ""NO. 1666""",21027,Yellow,NA,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?P=21027,"Minifigure, Head Female Glasses with Silver Frames, Brown Eyebrows, Eyelashes, Pink Lips, Open Mouth Smile Pattern - Hollow Stud",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,neutral,NA,FALSE,NA,https://www.bricklink.com/v2/search.page?q=6112633#T=A
