Image,Item ID,Item Description,"Color
ID","Color
Name","Design
ID","Color
Name",Price,Savings,DKK ,USD,"# of
Buyers","Total
Qty",Alice, Bob ,Daniel F, Dave I ,Dave S,David F x2,Jordan x2,Kelli S,Michael,Nicole/Shawn,RJ,Sean E,Tom,These will all be calculated fields; no data entry in this space
,6004990,ANGULAR PLATE 1.5 BOT. 1X2 1/2,194,Med. St-Grey,99780,Light Bluish Gray,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6020193,ANGULAR PLATE 1.5 BOT. 1X2 1/2,26,Black,99780,Black,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6057458,ANGULAR PLATE 1.5 BOT. 1X2 1/2,24,Br.Yel,99780,Yellow,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6070698,ANGULAR PLATE 1.5 BOT. 1X2 1/2,1,White,99780,White,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6089698,ANGULAR PLATE 1.5 BOT. 1X2 1/2,21,Br.Red,99780,Red,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6099243,ANGULAR PLATE 1.5 BOT. 1X2 1/2,28,Dk.Green,99780,Green,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6133721,ANGULAR PLATE 1.5 BOT. 1X2 1/2,23,Br.Blue,99780,Blue,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6152110,ANGULAR PLATE 1.5 BOT. 1X2 1/2,321,Dark Azur,99780,Dark Azure,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,6174856,ANGULAR PLATE 1.5 BOT. 1X2 1/2,192,Red. Brown,99780,Reddish Brown,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6099449,ANGULAR PLATE 1.5 BOT. 1X2 1/2,221,Br. Purple,99780,Dark Pink,,,0.32,$0.051,0,0,,,,,,,,,,,,,,
,4654580,ANGULAR PLATE 1.5 BOT. 1X2 2/2,194,Med. St-Grey,99207,Light Bluish Gray,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6000650,ANGULAR PLATE 1.5 BOT. 1X2 2/2,26,Black,99207,Black,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6001806,ANGULAR PLATE 1.5 BOT. 1X2 2/2,21,Br.Red,99207,Red,,,0.16,$0.026,0,0,,,,,,,,,,,,,,
,6061676,ANGULAR PLATE 1.5 BOT. 1X2 2/2,106,Br.Orange,99207,Orange,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6097637,ANGULAR PLATE 1.5 BOT. 1X2 2/2,1,White,99207,White,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6133720,ANGULAR PLATE 1.5 BOT. 1X2 2/2,23,Br.Blue,99207,Blue,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6174925,ANGULAR PLATE 1.5 BOT. 1X2 2/2,5,Brick-Yel,99207,Tan,,,0.24,$0.038,0,0,,,,,,,,,,,,,,
,6184796,ANIMAL TAIL,199,Dk. St. Grey,18277,Dark Bluish Gray,,,2.16,$0.346,2,2,,,,1,,,1,,,,,,,
,6164379,ANTENNA 1X1X8,26,Black,25699,Black,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,6164380,ANTENNA 1X1X8,49,Tr. Fl.Green,25699,Trans-Neon Green,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,6164384,ANTENNA 1X1X8,47,Tr. Fl.Redora,25699,Trans-Neon Orange,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,6164381,ANTENNA 1X1X8,194,Med. St-Grey,25699,Light Bluish Gray,,,0.40,$0.064,0,0,,,,,,,,,,,,,,
,4287814,ANTIQUE KEY ( 2 PCS ),199,Dk. St. Grey,40359,Dark Bluish Gray,,,2.48,$0.397,0,0,,,,,,,,,,,,,,
,6022033,ANTIQUE KEY (2 PCS),297,W. Gold,40359,Pearl Gold,,,2.40,$0.384,0,0,,,,,,,,,,,,,,
,4107050,APPLE WITH LEAF,37,Br.Green,33051,Bright Green,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6054438,APPLE WITH LEAF,21,Br.Red,33051,Red,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6145252,APPLE WITH LEAF,28,Dk.Green,33051,Green,,,0.56,$0.090,0,0,,,,,,,,,,,,,,
,6090084,ARCH 1X12X3,1,White,18838,White,,,1.52,$0.243,0,0,,,,,,,,,,,,,,
,6096381,ARCH 1X12X3,194,Med. St-Grey,18838,Light Bluish Gray,,,1.44,$0.230,0,0,,,,,,,,,,,,,,
,6096383,ARCH 1X12X3,5,Brick-Yel,18838,Tan,,,1.52,$0.243,0,0,,,,,,,,,,,,,,
,6096379,ARCH 1X12X3,192,Red. Brown,18838,Reddish Brown,,,1.52,$0.243,0,0,,,,,,,,,,,,,,
,6117039,ARCH 1X12X3,268,M. Lilac,18838,Dark Purple,,,1.76,$0.282,1,1,,,,,,,,1,,,,,,
