image,item_number,color_code,description,color,gender,age,emotion
,3626cpb2204,90,"Minifigure, Head Dual Sided Black Eyebrows, Neutral Expression / Angry with Silver and White Eyes Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb2204,90,"Minifigure, Head Dual Sided Black Eyebrows, Neutral Expression / Angry with Silver and White Eyes Pattern",Light Nougat,neutral,young adult,angry
,3626cpb2559,90,"Minifigure, Head Dual Sided Pearl Dark Gray Visor, Dark Purple Lenses, Med. Nougat Cheek Lines, Small Happy / Gritted Teeth Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb2559,90,"Minifigure, Head Dual Sided Pearl Dark Gray Visor, Dark Purple Lenses, Med. Nougat Cheek Lines, Small Happy / Gritted Teeth Pattern",Light Nougat,neutral,young adult,angry
,3626cpb0794,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Chin Dimple Determined / Breathing Apparatus Pattern (SW Obi-Wan)",Light Nougat,male,young adult,neutral
,3626cpb0794,90,"Minifigure, Head Dual Sided Dark Orange Eyebrows, Chin Dimple Determined / Breathing Apparatus Pattern (SW Obi-Wan)",Light Nougat,male,young adult,neutral
,3626cpb2302,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Strap, Smile, Visor Down / Visor Up Pattern (SW Luke Skywalker)",Light Nougat,male,young adult,neutral
,3626cpb2302,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Strap, Smile, Visor Down / Visor Up Pattern (SW Luke Skywalker)",Light Nougat,male,young adult,neutral
,3626cpb1132,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Strap, Visor Down / Visor Up Pattern (SW Luke Skywalker)",Light Nougat,male,young adult,neutral
,3626cpb1132,90,"Minifigure, Head Dual Sided Orange Visor, Brown Eyebrows, Chin Strap, Visor Down / Visor Up Pattern (SW Luke Skywalker)",Light Nougat,male,young adult,neutral
,3626cpb0842,90,"Minifigure, Head Dual Sided Orange Visor, Stern Brown Eyebrows, Pupils / Open Mouth Pattern (SW Luke Skywalker)",Light Nougat,male,young adult,neutral
,3626cpb0842,90,"Minifigure, Head Dual Sided Orange Visor, Stern Brown Eyebrows, Pupils / Open Mouth Pattern (SW Luke Skywalker)",Light Nougat,male,young adult,neutral
,3626cpb1045,90,"Minifigure, Head Dual Sided Orange Visor, Stern Brown Eyebrows, Pupils, Headset, Angry / Determined Pattern (SW Pilot)",Light Nougat,male,young adult,neutral
,3626cpb1045,90,"Minifigure, Head Dual Sided Orange Visor, Stern Brown Eyebrows, Pupils, Headset, Angry / Determined Pattern (SW Pilot)",Light Nougat,male,young adult,neutral
,3626cpb1235,90,"Minifigure, Head Dual Sided Red Scuba Mask Orange Goggles / Black Eye Mask, Open Mouth / (Robin)",Light Nougat,male,young adult,neutral
,3626cpb1235,90,"Minifigure, Head Dual Sided Red Scuba Mask Orange Goggles / Black Eye Mask, Open Mouth / (Robin)",Light Nougat,male,young adult,surprised
,3626bpb0441,90,"Minifigure, Head White Eyes, Black Pupils and Red Nose Pattern",Light Nougat,neutral,young adult,neutral
,3626cpb1720,90,"Minifigure, Head White Face Paint, Black Lines Through Eyebrows and Eyes, Bright Pink Hearts on Cheeks Pattern",Light Nougat,female,young adult,neutral
,3626cpb1574,28,"Minifigure, Head Dual Sided Beard Stubble, Black Thick Eyebrows, Neutral / Bared Teeth Angry Pattern (SW Quinlan Vos)",Nougat,male,young adult,neutral
,3626cpb1574,90,"Minifigure, Head Dual Sided Beard Stubble, Black Thick Eyebrows, Neutral / Bared Teeth Angry Pattern (SW Quinlan Vos)",Light Nougat,male,young adult,angry
,3626cpb0828,90,"Minifigure, Head Dual Sided Beard Thick with Lines, Dark Orange Eyebrows, Moustache, Large Blue Eyes, Smile / Angry Pattern",Light Nougat,male,young adult,neutral
,3626cpb0828,90,"Minifigure, Head Dual Sided Beard Thick with Lines, Dark Orange Eyebrows, Moustache, Large Blue Eyes, Smile / Angry Pattern",Light Nougat,male,young adult,angry
,3626cpb1642,90,"Minifigure, Head Dual Sided Black Eyebrows, Black and White Goatee, Wrinkles and Cheek Lines, Neutral / Angry Pattern",Light Nougat,male,older adult,neutral
