item_number,description,category
cty1054,"Beach Tourist - Male, White Tank Top with Dark Azure Sailboat, Dark Azure Legs, Black Hair",Town
twn336,Beach Tourist Female with Red Bathing Suit,Town
twn335,Beach Tourist with Surfer Tank Top and Yellow Boots,Town
cty0760,Beachgoer - Blue Male Swim Trunks and Sunglasses,Town
cty0771,"Beachgoer - Boy, Lime Hoodie and Blue Legs",Town
cty0770,"Beachgoer - Boy, Red Cap and Basketball Jersey",Town
cty0767,"Beachgoer - Girl, Glasses, Pink Top, Purple Legs",Town
cty0761,"Beachgoer - Girl, Top with Apples and Green Legs with Yellow Stripes",Town
cty0766,Beachgoer - Gray Female Hair and Red Old-Fashioned Swimsuit,Town
cty0762,"Beachgoer - Gray Male Hair, Glasses and Hawaiian Shirt",Town
cty0763,Beachgoer - Green Bikini Top and Shorts,Town
cty0757,Beachgoer - Kayaker,Town
cty0759,Beachgoer - Red Female Swimsuit and Light Blue Glasses,Town
cty0764,Beachgoer - Scuba Diver,Town
cty0768,Beachgoer - White and Dark Azure Striped Female Top with Red Scarf and Legs,Town
cty0758,Beachgoer - Windsurfer,Town
twn418,Bellhop,Town
bikerb,Biker Bob,Town
bb0001,Bill,Town
cty1391,"Billy - Blue Vest, Red Backpack",Town
twn104,"Black Vest with Blue Striped Tie, Black Hips and Yellow Legs, Black Short Tousled Hair",Town
cty0186,"Black Vest with Blue Striped Tie, Black Legs, White Arms, Black Male Hair (Bus Driver)",Town
twn052,"Black Vest with Blue Striped Tie, Black Legs, White Arms, Black Short Tousled Hair, Glasses",Town
cty0705,"Black Vest with Blue Striped Tie, Black Legs, White Arms, Dark Tan Male Hair, Dark Tan Beard",Town
twn033,"Black Vest with Blue Striped Tie, Blue Legs, White Arms, Reddish Brown Male Hair, Moustache",Town
twn211,"Black Vest with Blue Striped Tie, Dark Blue Legs, White Arms, Dark Orange Short Tousled Hair, Rectangular Glasses",Town
twn211a,"Black Vest with Blue Striped Tie, Dark Blue Legs, White Arms, Dark Orange Short Tousled Hair, Rounded Glasses",Town
twn049,"Black Vest with Blue Striped Tie, Dark Bluish Gray Legs, White Arms, Black Short Tousled Hair",Town
twn028,"Black Vest with Blue Striped Tie, Dark Bluish Gray Legs, White Arms, Light Bluish Gray Male Hair, Glasses",Town
twn108,"Black Vest with Blue Striped Tie, Dark Bluish Gray Legs, White Arms, Reddish Brown Male Hair",Town
twn068,"Black Vest with Blue Striped Tie, Dark Red Legs, White Arms, Dark Red Hat, Moustache",Town
