parts_id,count,head_link,num_minifigs,type,num_outside,perc_not,has_outside,minifigs_link
3626cpb1933,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1933,34,neutral,33,97,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1933&in=M
3626cpb1937,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1937,2,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb1937&in=M
3626cpb2007,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2007,2,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2007&in=M
3626cpb2020,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2020,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2020&in=M
3626cpb2021,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2021,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2021&in=M
3626cpb2028,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2028,4,neutral,3,75,TRUE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2028&in=M
3626cpb2030,2,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2030,2,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2030&in=M
3626cpb2038,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2038,1,neutral,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2038&in=M
3626cpb2041,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2041,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2041&in=M
3626cpb2042,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2042,1,female,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2042&in=M
3626cpb2048,1,https://bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2048,1,male,0,0,FALSE,https://www.bricklink.com/catalogItemIn.asp?P=3626cpb2048&in=M
