image,item_number,description,culture_represented,set_id,set_description,category,gender,year,inspiration,link
,coltlnm03,"Lloyd, The LEGO Ninjago Movie (Minifigure Only without Stand and Accessories)",Japanese,coltlnm-3,"Lloyd, The LEGO Ninjago Movie (Complete Set with Stand and Accessories)",Collectible Minifigures: The LEGO Ninjago Movie,male,2017,The LEGO Ninjago Movie,https://www.bricklink.com/v2/catalog/catalogitem.page?M=coltlnm03#T=S&O={%22iconly%22:0}
,col256,"Mariachi, Series 16 (Minifigure Only without Stand and Accessories)",Mexican,col16-13,"Mariachi, Series 16 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 16 Minifigures,male,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=147549#T=S&O={%22iconly%22:0}
,col017,"Mariachi / Maraca Man, Series 2 (Minifigure Only without Stand and Accessories)",Mexican,col02-1,"Mariachi / Maraca Man, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 2 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=94922#T=S&O={%22iconly%22:0}
,col367,"Martial Arts Boy, Series 20 (Minifigure Only without Stand and Accessories)",East Asian,col20-10,"Martial Arts Boy, Series 20 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 20 Minifigures,male,2020,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col367#T=S&O={%22iconly%22:0}
,coltlnm04,"Master Wu, The LEGO Ninjago Movie (Minifigure Only without Stand and Accessories)",East Asian,coltlnm-4,"Master Wu, The LEGO Ninjago Movie (Complete Set with Stand and Accessories)",Collectible Minifigures: The LEGO Ninjago Movie,male,2017,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=157269#T=S&O={%22iconly%22:0}
,col180,"Hun Warrior, Series 12 (Minifigure Only without Stand and Accessories)",Chinese,col12-2,"Hun Warrior, Series 12 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 12 Minifigures,male,2014,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=129161#T=S&O={%22iconly%22:0}
,col167,"Island Warrior, Series 11 (Minifigure Only without Stand and Accessories)",Polynesian,col11-5,"Island Warrior, Series 11 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 11 Minifigures,male,2013,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=120412#T=S&O={%22iconly%22:0}
,dis035,"Jasmine, Disney, Series 2 (Minifigure Only without Stand and Accessories)",Middle Eastern and Asian,coldis2-12,"Jasmine, Disney, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Disney: Disney Series 2,female,2019,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=176004#T=S&O={%22iconly%22:0}
,tgb004,"Judo Fighter, Team GB (Minifigure Only without Stand and Accessories)",Japanese,coltgb-4,"Judo Fighter, Team GB (Complete Set with Stand and Accessories)",Collectible Minifigures: Team GB,female,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=110465#T=S&O={%22iconly%22:0}
,col030,"Karate Master, Series 2 (Minifigure Only without Stand and Accessories)",Japanese,col02-14,"Karate Master, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 2 Minifigures,male,2010,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=94914#T=S&O={%22iconly%22:0}
,col050,"Kimono Girl, Series 4 (Minifigure Only without Stand and Accessories)",Japanese,col04-2,"Kimono Girl, Series 4 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 4 Minifigures,female,2011,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=97086#T=S&O={%22iconly%22:0}
,coltlbm19,"King Tut, The LEGO Batman Movie, Series 1 (Minifigure Only without Stand and Accessories)",Egyptian,coltlbm-19,"King Tut, The LEGO Batman Movie, Series 1 (Complete Set with Stand and Accessories)",Collectible Minifigures: Super Heroes: The LEGO Batman Movie: The LEGO Batman Movie Series 1,male,2017,The LEGO Batman Movie,https://www.bricklink.com/v2/catalog/catalogitem.page?id=151573#T=S&O={%22iconly%22:0}
,colhp35,"Kingsley Shacklebolt, Harry Potter, Series 2 (Minifigure Only without Stand and Accessories)",Muslim/islamic,colhp2-13,"Kingsley Shacklebolt, Harry Potter, Series 2 (Complete Set with Stand and Accessories)",Collectible Minifigures: Harry Potter: Harry Potter Series 2,male,2020,Harry Potter,https://www.bricklink.com/v2/catalog/catalogitem.page?id=191528#T=S&O={%22iconly%22:0}
,col096,"Genie, Series 6 (Minifigure Only without Stand and Accessories)",Muslim/islamic,col06-16,"Genie, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,male,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=106339#T=S&O={%22iconly%22:0}
,col086,"Flamenco Dancer, Series 6 (Minifigure Only without Stand and Accessories)",Spanish,col06-6,"Flamenco Dancer, Series 6 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 6 Minifigures,female,2012,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=106328#T=S&O={%22iconly%22:0}
,col234,"Faun, Series 15 (Minifigure Only without Stand and Accessories)",Roman,col15-7,"Faun, Series 15 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 15 Minifigures,male,2016,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?id=141649#T=S&O={%22iconly%22:0}
,col379,"Centaur Warrior, Series 21 (Minifigure Only without Stand and Accessories)",Greek,col21-6,"Centaur Warrior, Series 21 (Complete Set with Stand and Accessories)",Collectible Minifigures: Series 21 Minifigures,female,2021,NA,https://www.bricklink.com/v2/catalog/catalogitem.page?M=col379#T=S&O={%22iconly%22:0}
