item_number,description,category,item_link
alp006,Ogel Minion Commander,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp006
alp018,Ogel Minion Commander with Emblem on Torso,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp018
alp033,"Ogel Minion, Super Ice Drone - Alpha Team Arctic",Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp033
alp008,"Ogel, Black Hands",Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp008
alp020,"Ogel, Trans-Red Hook",Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp020
alp009,Radia,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp009
alp012,Radia,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp012
alp028,Radia - Alpha Team Arctic,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp028
alp007,Tee Vee,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp007
alp030,Zed,Alpha Team,https://bricklink.com/v2/catalog/catalogitem.page?M=alp030
aqu001,Aquanaut 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu001
aqu001a,Aquanaut 1 with Blue Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu001a
aqu002,Aquanaut 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu002
aqu003,Aquanaut 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu003
aqu029,Aquanaut 3 with Blue Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu029
aqu004,Aquaraider 1 with Hook,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu004
aqu005,Aquaraider 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu005
aqu015a,Aquaraider Diver 1 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu015a
aqu016a,Aquaraider Diver 2 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu016a
aqu017,Aquaraider Diver 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu017
aqu027,Aquaraider Diver 4 - Black Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu027
aqu018,Aquaraider Diver 4 - Dark Bluish Gray Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu018
aqu019,Aquaraider Diver 5 - Black Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu019
aqu024,Aquaraider Diver 5 - Dark Bluish Gray Knit Cap,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu024
aqu025,Aquaraider Diver 6 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu025
aqu021,Aquaraider Diver 7,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu021
aqu022,Aquaraider Diver 8,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu022
aqu023,Aquaraider Diver 8 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu023
aqu026,Aquaraider Diver 9 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu026
aqu006,Aquashark 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu006
aqu006a,Aquashark 1 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu006a
aqu007,Aquashark 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu007
aqu008,Aquashark Hybrid,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu008
aqu010,Aquazone,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu010
aqu016,Aquazone,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu016
aqu020,Aquazone,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu020
aqu009,Hydronaut 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu009
aqu030,Hydronaut 1 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu030
aqu031,Hydronaut 2 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu031
aqu011,Hydronaut 3,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu011
aqu028,Hydronaut 3 with Black Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu028
gen016,"Skeleton with Evil Skull, Black Aquaraiders II Helmet (Squid Victim)",Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=gen016
gen017,"Skeleton with Evil Skull, Crown",Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=gen017
aqu012,Stingray 1,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu012
aqu012a,Stingray 1 with Light Gray Flippers,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu012a
aqu013,Stingray 2,Aquazone,https://bricklink.com/v2/catalog/catalogitem.page?M=aqu013
