image,item_number,color_code,description,color,emotion,link,release_year
NA,3626cpb0942,90,"Minifigure, Head Beard Brown, Furrowed Brow Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0942,2013
NA,3626bpb0316,90,"Minifigure, Head Beard Dark Orange, Eyebrows and Moustache and Large Blue Eyes Pattern (SW Clone Wars Obi-Wan Kenobi)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0316,2008
NA,3626cpb0316,90,"Minifigure, Head Beard Dark Orange, Eyebrows and Moustache and Large Blue Eyes Pattern (SW Clone Wars Obi-Wan Kenobi)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0316,2011
NA,3626bpb0322,90,"Minifigure, Head Beard Gray with Gray Eyebrows, Downturned Mouth, Deeply Furrowed Brow Pattern (Dooku Clone Wars)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0322,2009
NA,3626cpb0322,90,"Minifigure, Head Beard Gray with Gray Eyebrows, Downturned Mouth, Deeply Furrowed Brow Pattern (Dooku Clone Wars)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0322,2012
NA,3626cpb0945,90,"Minifigure, Head Beard Gray, Bushy Eyebrows, White Pupils, Scar Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0945,2013
NA,3626cpb2037,90,"Minifigure, Head Beard Stubble, Black Arched Eyebrows, White Pupils, Scars and Angry Mouth Pattern (Jango Fett)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2037,2017
NA,3626bpb0415,90,"Minifigure, Head Beard Stubble, Black Eyebrows, White Pupils, Frown Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0415,2010
NA,3626cpb0946,90,"Minifigure, Head Beard Stubble, Brown Angry Eyebrows, White Pupils Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0946,2013
NA,3626bpb0423,90,"Minifigure, Head Beard Stubble, Cleft Chin, Evil Eyes, Arched Eyebrows Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0423,2010
NA,3626cpb0649,90,"Minifigure, Head Beard Stubble, Goatee, Scar on Left Cheek and Eyebrow Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0649,2012
NA,3626bpb0649,90,"Minifigure, Head Beard Stubble, Goatee, Scar on Left Cheek and Eyebrow, Bared Teeth Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0649,2012
NA,3626cpb0943,90,"Minifigure, Head Beard Stubble, Moustache, Brown Eyebrows Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0943,2013
NA,3626bpb0420,90,"Minifigure, Head Beard Trimmed, Moustache, Silver Cheek Mark, Determined Expression Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0420,2010
NA,3626bpb0421,90,"Minifigure, Head Beard, Moustache, Large Eyepatch, Determined Expression Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0421,2010
NA,3626cpb0421,90,"Minifigure, Head Beard, Moustache, Large Eyepatch, Determined Expression Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0421,2010
NA,3626cpb2301,90,"Minifigure, Head Black Eyebrows, Goatee, Light Beard, Med. Nougat Cheek Lines Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2301,2019
NA,3626bpb0422,90,"Minifigure, Head Black Goatee, Arched Eyebrows, White Pupils Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0422,2010
NA,3626cpb0954,90,"Minifigure, Head Brown Sideburns, Stubble and Angry Expression Pattern (Barret)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0954,2013
NA,3626cpb1853,90,"Minifigure, Head Bushy Black Unibrow and Long Thick Sideburns, Off-Center Scowl Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1853,2017
NA,3626bpb0200,90,"Minifigure, Head Glasses, Green and Silver, Brown Arched Eyebrows, Open Mouth with Teeth Pattern (Dr. Octopus)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0200,2004
NA,3626cpb0737,90,"Minifigure, Head Male Black Angry Eyebrows, Determined Mouth with Teeth, Cheek Lines Pattern (Lex)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0737,2012
NA,3626bpb0647,90,"Minifigure, Head Male Black Angry Eyebrows, Frown and Cheek Lines Pattern (Lex)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0647,2012
NA,3626cpb0647,90,"Minifigure, Head Male Black Angry Eyebrows, Frown and Cheek Lines Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0647,2013
NA,3626bpb0314,90,"Minifigure, Head Male Black Thick Eyebrows, Large Eyes, Cheek Lines Pattern (SW Clone Wars Trooper)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0314,2008
NA,3626cpb0314,90,"Minifigure, Head Male Black Thick Eyebrows, Large Eyes, Cheek Lines Pattern (SW Clone Wars Trooper)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb0314,2011
NA,3626cpb1105,90,"Minifigure, Head Male Brown Thick Eyebrows, Lines under Eyes, Cheek Lines and Open Mouth with Teeth Pattern (Victor)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1105,2014
NA,3626bpb0258,90,"Minifigure, Head Male Half Normal, Half Purple with Scar Pattern (Two-Face)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0258,2006
NA,3626cpb1312,90,"Minifigure, Head Male Right Eye Scarred Area and No Pupil, Open Mouth Angry Pattern (Shredder)",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1312,2014
NA,3626cpb1727,42,"Minifigure, Head Balaclava with Black Eyes, 'Z' in Black Circle, Light Nougat Face with Sneer Pattern",Light Nougat,angry,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1727,2017
NA,3626bpb0783,90,"Minifigure, Head Dual Sided Brown Eyebrows, White Pupils, Chin Dimple, Somber / Closed Eyes Pattern (SW Han Solo)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0783,2012
NA,3626bpb0783,90,"Minifigure, Head Dual Sided Brown Eyebrows, White Pupils, Chin Dimple, Somber / Closed Eyes Pattern (SW Han Solo)",Light Nougat,sleepy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0783,2012
NA,3626bpb0215,90,"Minifigure, Head Male Stern Black Eyebrows, Black Eyes and Frown Pattern",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626bpb0215,2008
NA,3626cpb1414,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern / Smile Pattern (SW Luke Skywalker)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1414,2015
NA,3626cpb1414,90,"Minifigure, Head Dual Sided Dark Tan Eyebrows, Chin Dimple, White Pupils, Stern / Smile Pattern (SW Luke Skywalker)",Light Nougat,happy,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb1414,2015
NA,3626cpb2138,90,"Minifigure, Head Dual Sided Brown Eyebrows, Cheek Lines, Chin Dimple, Mud Stains, Determined / Scared Pattern (SW Han Solo, Mudtrooper)",Light Nougat,annoyed,https://www.bricklink.com/v2/catalog/catalogitem.page?P=3626cpb2138,2018
