"","item_number","description","category","item_link","minifigs_link","color_link","Name"
"312","3887","Minifigure, Hair Female Mid-Length, Parted on Right","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=3887","https://www.bricklink.com/catalogItemIn.asp?P=3887&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3887#T=C","Dark Orange"
"313","3887","Minifigure, Hair Female Mid-Length, Parted on Right","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=3887","https://www.bricklink.com/catalogItemIn.asp?P=3887&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=3887#T=C","White"
"314","35714","Minifigure, Hair Female Parted in Center, Two Braids Hanging in Front","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=35714","https://www.bricklink.com/catalogItemIn.asp?P=35714&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=35714#T=C","Reddish Brown"
"315","35714pb01","Minifigure, Hair Female Parted in Center, Two Braids Hanging in Front with Bright Light Blue Bows Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=35714pb01","https://www.bricklink.com/catalogItemIn.asp?P=35714pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=35714pb01#T=C","Reddish Brown"
"316","x103","Minifigure, Hair Female Pigtails","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x103","https://www.bricklink.com/catalogItemIn.asp?P=x103&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x103#T=C","Black"
"317","x103","Minifigure, Hair Female Pigtails","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x103","https://www.bricklink.com/catalogItemIn.asp?P=x103&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x103#T=C","Red"
"318","x103","Minifigure, Hair Female Pigtails","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=x103","https://www.bricklink.com/catalogItemIn.asp?P=x103&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=x103#T=C","White"
"319","28798pb01","Minifigure, Hair Female Pigtails High Bouncy, Hole on Top with Black Hair on Left Side and Black Tie on Right Side Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb01","https://www.bricklink.com/catalogItemIn.asp?P=28798pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb01#T=C","Orange"
"320","28798pb01","Minifigure, Hair Female Pigtails High Bouncy, Hole on Top with Black Hair on Left Side and Black Tie on Right Side Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb01","https://www.bricklink.com/catalogItemIn.asp?P=28798pb01&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb01#T=C","Red"
"321","28798pb02","Minifigure, Hair Female Pigtails High Bouncy, Hole on Top with Bright Light Blue Hair on Left Side and Tie on Right Side Pattern","Minifigure, Hair","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb02","https://www.bricklink.com/catalogItemIn.asp?P=28798pb02&in=M","https://bricklink.com/v2/catalog/catalogitem.page?P=28798pb02#T=C","Bright Pink"
